Engine RPM(rpm),Intake Air Temperature(°C),Engine Load(%),Throttle Position(Manifold)(%),,,,,,,,
2623.25,30,92.54901886,32.54901886,,,,,,,,
3169.5,30,90.98039246,32.54901886,,,,,,,,
2587.5,30,98.4313736,37.64706039,,,,,,,,
2753,30,98.03921509,39.2156868,,,,,,,,
2957,30,96.86274719,38.82352829,,,,,,,,
3158.5,30,97.2549057,40,,,,,,,,
3430.25,30,95.29412079,40.39215851,,,,,,,,
2927.25,30,65.49019623,16.47058868,,,,,,,,
2267,30,77.64705658,29.41176605,,,,,,,,
2353.75,30,93.33333588,31.76470566,,,,,,,,
2325.75,30,94.90196228,32.15686417,,,,,,,,
2303,30,93.72549438,32.15686417,,,,,,,,
1685.75,30,34.11764908,16.47058868,,,,,,,,
1258.5,30,34.90196228,16.47058868,,,,,,,,
1507.75,30,28.23529434,16.47058868,,,,,,,,
1686.5,30,63.52941132,24.70588303,,,,,,,,
1667,30,94.11764526,28.62745094,,,,,,,,
2378.75,30,100,37.64706039,,,,,,,,
2489.75,30,95.29412079,37.25490189,,,,,,,,
2089,30,40,16.07843208,,,,,,,,
2012.5,30,48.23529434,20.7843132,,,,,,,,
1779.5,30,24.70588303,17.25490189,,,,,,,,
1706.25,30,22.74509811,16.07843208,,,,,,,,
1428,30,24.70588303,16.07843208,,,,,,,,
1376.5,30,25.88235283,16.07843208,,,,,,,,
1879.5,30,29.41176605,18.8235302,,,,,,,,
1793.75,30,24.70588303,18.8235302,,,,,,,,
1407.75,30,24.31372643,16.07843208,,,,,,,,
1286.5,30,26.66666794,16.47058868,,,,,,,,
1457.75,30,29.80392265,16.47058868,,,,,,,,
1482,30,27.45098114,16.47058868,,,,,,,,
1380.25,30,28.23529434,16.47058868,,,,,,,,
1308.5,30,29.80392265,16.47058868,,,,,,,,
1260,30,30.58823586,16.47058868,,,,,,,,
1221.75,30,31.37254906,16.47058868,,,,,,,,
1157.75,30,32.54901886,16.47058868,,,,,,,,
1041.25,30,34.50980377,16.47058868,,,,,,,,
1037.5,30,35.29411697,15.68627453,,,,,,,,
929.5,30,32.54901886,15.68627453,,,,,,,,
816.25,30,34.50980377,15.68627453,,,,,,,,
710,30,36.86274719,15.68627453,,,,,,,,
699,30,40.39215851,15.68627453,,,,,,,,
805.25,30,39.60784531,15.68627453,,,,,,,,
699,30,39.2156868,15.68627453,,,,,,,,
690.5,30,42.35294342,15.68627453,,,,,,,,
692,30,41.17647171,15.68627453,,,,,,,,
682,30,41.5686264,15.68627453,,,,,,,,
708.5,30,42.35294342,16.47058868,,,,,,,,
709.25,30,52.54901886,16.47058868,,,,,,,,
739.75,30,51.76470566,16.86274529,,,,,,,,
735.75,30,52.15686417,16.86274529,,,,,,,,
744.5,30,51.76470566,16.86274529,,,,,,,,
742,30,51.76470566,16.86274529,,,,,,,,
746,30,51.37255096,16.86274529,,,,,,,,
750,30,51.76470566,16.86274529,,,,,,,,
745.25,30,51.37255096,16.86274529,,,,,,,,
746,30,51.76470566,16.86274529,,,,,,,,
741.25,30,51.37255096,16.86274529,,,,,,,,
742,30,51.76470566,16.86274529,,,,,,,,
744.5,30,51.76470566,16.86274529,,,,,,,,
764,30,52.15686417,16.86274529,,,,,,,,
805.25,30,39.2156868,15.68627453,,,,,,,,
667.75,30,38.4313736,15.68627453,,,,,,,,
650.75,30,39.60784531,15.68627453,,,,,,,,
683.5,30,41.17647171,15.68627453,,,,,,,,
700,30,40.7843132,15.68627453,,,,,,,,
960.75,30,43.52941132,16.86274529,,,,,,,,
1084.25,30,46.66666794,17.64705849,,,,,,,,
925,30,42.74509811,15.68627453,,,,,,,,
767.75,30,45.49019623,16.86274529,,,,,,,,
795.25,30,48.23529434,16.86274529,,,,,,,,
768.75,30,49.41176605,16.86274529,,,,,,,,
717,30,50.98039246,16.86274529,,,,,,,,
741.25,30,52.15686417,16.86274529,,,,,,,,
747.5,30,51.76470566,16.86274529,,,,,,,,
738.25,30,51.76470566,16.86274529,,,,,,,,
743.75,30,51.76470566,16.86274529,,,,,,,,
742,30,51.76470566,16.86274529,,,,,,,,
745.25,30,51.76470566,16.86274529,,,,,,,,
749,30,51.76470566,16.86274529,,,,,,,,
742.75,30,51.37255096,16.86274529,,,,,,,,
750,30,51.37255096,16.86274529,,,,,,,,
778,30,38.4313736,15.29411793,,,,,,,,
1082,30,50.98039246,19.6078434,,,,,,,,
1696,30,74.90196228,22.74509811,,,,,,,,
2117.75,30,81.96078491,26.27450943,,,,,,,,
2173.25,30,81.96078491,26.27450943,,,,,,,,
2173.25,30,47.05882263,25.09803963,,,,,,,,
2280.25,30,94.50980377,33.33333206,,,,,,,,
2463.25,30,93.72549438,32.94117737,,,,,,,,
2571.75,30,95.6862793,36.86274719,,,,,,,,
2682,30,98.03921509,40,,,,,,,,
2927.25,30,97.2549057,39.2156868,,,,,,,,
3098.25,30,95.6862793,36.86274719,,,,,,,,
3257.75,30,91.76470947,27.45098114,,,,,,,,
1836.5,30,29.01960754,17.64705849,,,,,,,,
1719.5,30,72.54901886,23.92156982,,,,,,,,
1950.75,30,77.2549057,24.31372643,,,,,,,,
1955.25,30,78.4313736,24.31372643,,,,,,,,
1324,30,38.03921509,15.68627453,,,,,,,,
1495.25,30,64.70588684,20.7843132,,,,,,,,
1532,30,64.70588684,23.52941132,,,,,,,,
1905.25,30,58.8235321,25.88235283,,,,,,,,
1227.25,30,29.41176605,15.68627453,,,,,,,,
1051.5,30,28.23529434,15.68627453,,,,,,,,
1011.5,30,29.01960754,15.68627453,,,,,,,,
945.25,30,30.19607925,15.68627453,,,,,,,,
847.5,30,32.15686417,15.68627453,,,,,,,,
736.5,30,34.50980377,15.68627453,,,,,,,,
707.75,30,44.31372452,16.86274529,,,,,,,,
814,30,49.41176605,16.86274529,,,,,,,,
790.5,30,47.05882263,16.86274529,,,,,,,,
736.5,30,51.76470566,16.86274529,,,,,,,,
789,30,49.80392075,16.86274529,,,,,,,,
761.5,30,50.58823776,16.86274529,,,,,,,,
767,30,50.19607925,16.86274529,,,,,,,,
792,30,49.80392075,16.86274529,,,,,,,,
778.75,30,49.41176605,16.86274529,,,,,,,,
779.5,30,49.41176605,16.86274529,,,,,,,,
747.5,30,50.19607925,16.86274529,,,,,,,,
777.25,30,50.19607925,16.86274529,,,,,,,,
761.5,30,49.80392075,16.86274529,,,,,,,,
764.75,30,50.19607925,16.86274529,,,,,,,,
759.25,30,49.80392075,16.86274529,,,,,,,,
766.25,30,50.19607925,16.47058868,,,,,,,,
739.75,30,38.03921509,15.68627453,,,,,,,,
683.5,30,38.4313736,15.68627453,,,,,,,,
864.75,30,40,21.17647171,,,,,,,,
1413.25,30,55.29411697,20.3921566,,,,,,,,
1657,30,62.74509811,21.56862831,,,,,,,,
1787.5,30,50.19607925,15.29411793,,,,,,,,
1049,30,35.68627548,15.68627453,,,,,,,,
1522.5,30,79.21569061,24.70588303,,,,,,,,
1934.25,30,80,25.49019623,,,,,,,,
2098.25,30,78.03921509,25.49019623,,,,,,,,
1391.25,30,33.33333206,16.47058868,,,,,,,,
1825,30,85.09803772,27.05882454,,,,,,,,
1978,30,71.76470947,16.47058868,,,,,,,,
1447.5,30,63.13725662,20.7843132,,,,,,,,
1578.75,30,61.96078491,21.17647171,,,,,,,,
1914,30,85.49019623,28.62745094,,,,,,,,
2148.25,30,84.70588684,27.05882454,,,,,,,,
2355.25,30,83.52941132,28.23529434,,,,,,,,
2631.25,30,90.58823395,32.54901886,,,,,,,,
2739,30,92.15686798,33.33333206,,,,,,,,
3101.5,30,86.66667175,29.80392265,,,,,,,,
2523.25,30,87.05882263,33.33333206,,,,,,,,
2239.75,30,65.49019623,23.92156982,,,,,,,,
2000,30,83.92156982,27.84313774,,,,,,,,
2119.5,30,94.50980377,36.86274719,,,,,,,,
2777.25,30,94.90196228,37.25490189,,,,,,,,
2947.5,30,96.07843018,41.17647171,,,,,,,,
2578.75,30,19.6078434,16.47058868,,,,,,,,
1664,30,36.47058868,18.8235302,,,,,,,,
1902.25,30,40,21.96078491,,,,,,,,
1886.5,30,70.19608307,22.35294151,,,,,,,,
2153.75,30,27.84313774,18.8235302,,,,,,,,
