Engine RPM(rpm),Intake Air Temperature(°C),Engine Load(%),Throttle Position(Manifold)(%),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
3169.5,30,90.98039246,32.54901886,,,,,,,,
3158.5,30,97.2549057,40.0,,,,,,,,
3430.25,30,95.29412079,40.39215851,,,,,,,,
3098.25,30,95.6862793,36.86274719,,,,,,,,
3257.75,30,91.76470947,27.45098114,,,,,,,,
3101.5,30,86.66667175,29.80392265,,,,,,,,
3339.0,30,97.2549057,54.11764908,,,,,,,,
3571.0,30,96.07843018,53.33333588,,,,,,,,
3833.5,30,95.6862793,52.94117737,,,,,,,,
4107.0,30,92.94117737,41.17647171,,,,,,,,
3150.75,31,99.60784149,66.66666412,,,,,,,,
3442.75,31,96.07843018,61.17647171,,,,,,,,
3675.75,31,50.58823776,39.60784531,,,,,,,,
3119.5,31,97.2549057,50.19607925,,,,,,,,
3240.5,31,94.90196228,40.39215851,,,,,,,,
3497.5,31,92.15686798,39.60784531,,,,,,,,
3716.25,31,70.98039246,36.47058868,,,,,,,,
3207.75,33,94.11764526,38.4313736,,,,,,,,
3362.5,32,92.15686798,38.4313736,,,,,,,,
3306.25,32,90.98039246,30.98039246,,,,,,,,
2623.25,30,92.54901886,32.54901886,,,,,,,,
2587.5,30,98.4313736,37.64706039,,,,,,,,
2753.0,30,98.03921509,39.2156868,,,,,,,,
2957.0,30,96.86274719,38.82352829,,,,,,,,
2353.75,30,93.33333588,31.76470566,,,,,,,,
2325.75,30,94.90196228,32.15686417,,,,,,,,
2303.0,30,93.72549438,32.15686417,,,,,,,,
1667.0,30,94.11764526,28.62745094,,,,,,,,
2378.75,30,100.0,37.64706039,,,,,,,,
2489.75,30,95.29412079,37.25490189,,,,,,,,
2117.75,30,81.96078491,26.27450943,,,,,,,,
2173.25,30,81.96078491,26.27450943,,,,,,,,
2280.25,30,94.50980377,33.33333206,,,,,,,,
2463.25,30,93.72549438,32.94117737,,,,,,,,
2571.75,30,95.6862793,36.86274719,,,,,,,,
2682.0,30,98.03921509,40.0,,,,,,,,
2927.25,30,97.2549057,39.2156868,,,,,,,,
1825.0,30,85.09803772,27.05882454,,,,,,,,
1914.0,30,85.49019623,28.62745094,,,,,,,,
2148.25,30,84.70588684,27.05882454,,,,,,,,
2355.25,30,83.52941132,28.23529434,,,,,,,,
2631.25,30,90.58823395,32.54901886,,,,,,,,
2739.0,30,92.15686798,33.33333206,,,,,,,,
2523.25,30,87.05882263,33.33333206,,,,,,,,
2000.0,30,83.92156982,27.84313774,,,,,,,,
2119.5,30,94.50980377,36.86274719,,,,,,,,
2777.25,30,94.90196228,37.25490189,,,,,,,,
2947.5,30,96.07843018,41.17647171,,,,,,,,
1833.5,30,83.52941132,27.45098114,,,,,,,,
1833.5,30,87.05882263,27.45098114,,,,,,,,
1899.0,30,87.05882263,27.45098114,,,,,,,,
2455.25,30,91.37255096,31.37254906,,,,,,,,
2503.0,30,91.76470947,33.72549057,,,,,,,,
2047.5,30,81.5686264,26.27450943,,,,,,,,
2035.0,30,81.5686264,25.88235283,,,,,,,,
2313.25,30,88.23529816,30.19607925,,,,,,,,
2223.25,30,94.50980377,33.33333206,,,,,,,,
2382.0,30,92.94117737,34.11764908,,,,,,,,
2125.75,30,95.29412079,33.72549057,,,,,,,,
2157.0,30,84.70588684,29.01960754,,,,,,,,
2322.5,30,91.37255096,31.76470566,,,,,,,,
2285.0,30,89.01960754,30.19607925,,,,,,,,
2292.75,30,92.94117737,32.54901886,,,,,,,,
2431.25,30,95.29412079,37.64706039,,,,,,,,
2605.25,30,97.2549057,42.35294342,,,,,,,,
2228.0,30,88.23529816,30.98039246,,,,,,,,
2082.0,30,94.11764526,35.68627548,,,,,,,,
2304.5,30,95.6862793,39.2156868,,,,,,,,
2296.0,30,91.37255096,30.98039246,,,,,,,,
2057.75,30,81.17647552,26.66666794,,,,,,,,
2330.25,30,93.33333588,35.68627548,,,,,,,,
2098.25,30,89.41176605,29.80392265,,,,,,,,
1473.25,30,89.01960754,37.64706039,,,,,,,,
2318.75,30,96.86274719,42.35294342,,,,,,,,
2418.75,30,97.64706421,44.31372452,,,,,,,,
2567.75,30,97.2549057,45.88235474,,,,,,,,
2623.25,30,98.4313736,43.92156982,,,,,,,,
2100.75,30,85.49019623,29.41176605,,,,,,,,
